source_id,sentence,label,label_for_kaggle
10211COS_16,(晶透超瞬白精華日霜)針對一整天紫外線的防護和保濕治療，具體地美白配方逐步地淡化斑點、暗沉的臉色和雀斑。有規律和恆定的使用，可恢復被紫外線損壞的皮膚，也可防止早期的老化(晶透超瞬白精華晚霜)深成滋養保濕晚霜，可抗自由基，幫助皮膚再生，同時逐漸清除淡斑、暗沉的臉色和雀斑。當睡覺時可釋放美白成份及修復皮膚和防止早期老化(晶透防護日霜)純潔淨白的氣味，具有保濕和鎮定的特性，應可以清除自由基，鎮定肌膚和保護免於紫外線的傷害...(澳洲薄荷純露)能有效改善口臭或粉刺性肌膚，非常紅腫不適的痘痘也可以用它來敷用以幫助改善情形，並且能幫助油性肌膚控油。對於過敏反應、蚊蟲叮咬能快速舒緩，具有消炎作用，也可以用於處理肌肉僵硬、痠痛。它能提振精神、屬於提神醒腦的純露，因為它有安撫神經、刺激腦力的功效，常有人噴灑一些在臉上已恢復體力(保加利亞玫瑰純露)是一種非常良好的保濕劑，能增加並保持肌膚的水份，並且適合中、乾性、敏感以及黯沉無生氣的肌膚。具有清涼及十分溫和的收斂效果。最脆弱和敏感的皮膚也可以使用玫瑰純露。滋潤乾燥的皮膚，有很好的保濕效果，安撫敏感性皮膚，即使是脆弱的眼部皮膚也可適用。可改善老化，淡斑，調理，抗菌，也可以噴在頭髮上保濕，使頭髮柔順，防止紫外線害(澳洲茶樹純露)可治粉刺、皮炎、濕疹、水腫和去痘，對皮膚抗菌消炎功效顯著，對油性或綜合性肌膚PH值得調節功效較好(澳洲薰衣草純露)適用使用於任何膚質。本身清涼的療癒功效，於受損乾燥的脆弱肌膚具有再生的效果。做成臉部噴霧，以抵抗過度乾燥的空氣所造成的傷害，同時防止肌膚乾裂的現象。(澳洲迷迭香純露)能促使頭髮健康、閃亮，並且對於掉髮有不錯的幫助...,第24條第2項,1
9903COS_13,...Before暗沉 皮膚粗糙 After3週後明顯改善...Before青春痘 痘疤 After3週後明顯改善...Before過敏 脫皮 After2週後明顯改善...胎盤素年輕10歲的秘密...小麥幹細胞它能修護受損細胞，刺激膠原蛋白增生，恢復肌膚彈力，改善老化鬆弛及乾燥問題...Before魚尾紋After明顯改善...Before眼下紋After明顯改善...研究證實將小麥幹細胞轉移到人體表皮細胞中，可幫助皮膚細胞增生達43%，及有效修護皮膚細胞達35%...30秒立即見效...腳跟龜裂殺手Byebye！加拿大專利原料 專業醫療及成份...抗菌，增加肌膚對細菌和霉菌傳染傳染的抵抗力...促進傷口癒合...增加細胞更新，快速長出新的皮膚，瞬間提升修復力...,第24條第2項,1
10212COS_17,路嘉怡的瘦身秘密...7天決戰窈窕...*妝廣字號:10206177...台灣女明星偷偷美體的秘密...肥肉一起削滅吧...女大生的最愛...擁有女明星專屬的貼身美容師...緊緊擁抱我每吋肌膚...專業級保養...,第24條第1項,0
10009COS_48,"(來賓:賴秀玉)可以讓頭髮變健康的...如果你常常覺得頭髮上面空空的...大量掉髮的...建議大家來用這個...(主持人)一般染髮會枯黃...日本權威/桑名隆一郎博士/日本毛髮協會大力推薦、日本多家專業機構指定使用...在台灣呢?(著作)給因禿頭、頭髮稀疏而煩惱者的""重新還我黑髮""桑名隆一郎著...黑誕彩 研發者...國際性皮膚科學會、日本60多家醫療院所指定使用...『養髮』是讓失調的平衡恢復正常、充足，且持續性的供給頭髮養分，激活出原本的韌性，使髮根強健有彈性...(見證人)我生完小孩急速減肥...嚴重掉髮...用了之後什麼都長了(頭髮)...我爸60幾歲用半年...顏色長出來很漂亮...",第24條第1項,0
9906COS_15,由內而外秒殺黑色素...從基本的『淡化』黑色素，推演到進階的『阻斷、抑制』黑色素，讓美白搶先一步...舒緩水腫，減少浮拋與黑眼圈...肌底層、C前導：有效抑制黑色素分液，排除深層斑點！漢萃斷黑淨白純C前導精露...日本獨創的『斷黑細胞醯胺』，直導穿透到肌底層並抑制黑色素形成...6天有效減少黑色素達-23.5%...五倍斷黑，勻亮透白由內而外徹底阻斷黑色素 漢萃斷黑淨白精華液...,第24條第2項,1
10107COS_99,以天然不刺激的成分進行深層清潔，促進肌膚呼吸，調理本質，幫助油水平衡...,第24條第2項,1
9901COS_34,立即舒緩不適...每克含數百億益生菌精華RAD-III...LGG菌、LP菌、LC菌...防禦功能...超強的抗氧力...幫助肌膚代謝...果膠、多醣體與礦物質...,第24條第2項,1
9912COS_55,掀去暗沉與粗糙，瞬間呈現光滑的淨白彈嫩肌...一舉解決暗沉與粗糙、乾燥問題！確實去除角質暗沉，充分補給滋潤，提高肌膚緊實感...緊急滅痘專用...痘痘一冒出，立即消滅...迅速消滅成人痘...抑制發炎...遮黑眼圈升級版的補正橘色魔法，讓青色黑色熊貓眼一舉退散...專業的橘色能中和惱人的黑眼圈與暗沉...,第24條第2項,1
10309COS_22,來自瑞士的凍齡秘密...來自瑞士的MERRIVA，運用了『智慧微晶載體』的頂尖科技、與源自阿爾卑斯山的天然精萃，確保每一滴都是最精純的活性成分，讓肌膚由內而外綻放青春光采，讓堅持使用天然原料保養品的倪雅倫，使用後驚豔不已！...效率保養 輕質美肌...MERRIVA，結合了巴黎時尚以及瑞士的頂尖生物植萃技術，以無化學合成的純淨概念...而目前已經是一個小孩的媽媽，並進入熟女行列的倪雅倫Emma，則在使用MERRIVA的活細胞系列產品後，感受何謂美麗的奇蹟...事實上，到瑞士進行『活細胞療法』的美容療程，向來是名媛之間心照不宣的美麗秘密。1931年由保羅•尼漢斯博士發明的『活細胞療法』，能改善皺紋、疤痕、皮膚暗沉等困擾...由於MERRIVA運用了瑞士Alpinamed頂級萃取技術，保留植物最高活性與有效濃度，可以迅速吸收到肌膚底層，並由肌底開始作用，由內而外凍結時光...MERRIVA是針對東方膚質所設計，清爽的質地與不含香料的天然概念，能為肌膚注入健康...,第24條第1項,0
10009COS_8,徹底消除倦容，提振精神，維持肌膚顛峰狀態...提升肌膚防禦力...48小時完封痘痘抗痘無痕 瞬效看得見...拯救1000萬雙黑眼圈歐美NO.1眼部保養來台含天然檸檬、咖啡因精華，有效淡化黑眼圈，更加入只有在頂級專櫃才會使用的保濕成分-角鯊烷，高效保濕眼周不怕有乾紋...48小時完封痘痘抗痘無痕 瞬效看得見...97%痘痘收乾 不留痘疤...48小時完封痘痘抗痘無痕 瞬效看得見...夏日終極UV防護100%零油脂...DNA防護科技...天然礦物成份，物理性防曬力達12小時之久，能有效抵擋紫外線UVA/UVB，再加上，100%零油質的清爽質地，悶熱夏天，肌膚也能無負擔地自在呼吸！...精粹礦物微粒能全面反射紫外線，持久對抗UVA，UVB的傷害，防止肌膚曬黑、老化...提供12小時持久的高效物理性防曬SPF50PA+++，其中精粹礦物微粒能全面反射紫外線，阻擋UVA和UVB射線的傷害，更能防止肌膚曬黑、老化。...使用八周後更能減少泛紅、細紋，有效改善膚質，提供看得見的美肌功效。...補給超水能量，每日抗倦容...有效促進肌膚微循環，補給能量，徹底消除倦容，維持肌膚顛峰狀態...幫助對抗自由基的侵害，淨化排毒，提升肌膚防禦力...6小時無油光勁白抗暗沉...>去油光：清除多餘皮脂油光98% >超勁白：有效明亮膚色96%...有效促進肌膚微循環...幫助對抗自由基的侵害，淨化排毒，提升肌膚防禦力...,第24條第2項,1
